-3.80	47.50	4.40	47.40	0.70	67.80	0.43	54.23		
-4.00	47.25	4.50	47.30	0.40	67.60	0.30	54.05		
-3.50	48.70	4.50	48.80	0.35	69.00	0.45	55.50		
-4.50	46.90	3.90	46.90	-0.65	67.20	-0.42	53.67		
-4.05	46.00	4.00	46.20	-0.70	66.50	-0.25	52.90		
-4.20	47.10	4.00	47.20	-0.50	67.20	-0.23	53.83		
-4.50	47.20	3.50	47.30	-1.10	67.40	-0.70	53.97		
-3.55	46.70	4.30	46.90	-0.30	66.90	0.15	53.50		
-2.30	48.40	5.60	48.20	2.20	68.50	1.83	55.03		
-4.10	46.60	4.40	46.00	1.40	66.50	0.57	53.03		
-3.30	47.70	4.60	47.75	0.70	67.95	0.67	54.47		
-3.10	47.00	4.95	46.80	1.20	67.20	1.02	53.67		
-2.80	46.50	5.30	46.30	1.60	66.70	1.37	53.17		
-4.00	48.35	4.00	48.35	0.00	68.50	0.00	55.07		
-2.90	46.60	5.35	46.40	1.60	66.90	1.35	53.30		
-3.70	47.75	4.50	47.75	0.30	68.00	0.37	54.50		
-4.50	48.35	3.50	48.60	-0.90	68.50	-0.63	55.15		
-4.55	48.20	3.40	48.40	-0.90	68.60	-0.68	55.07		
-3.80	46.20	4.20	46.15	-0.15	66.40	0.08	52.92		
-4.90	46.30	3.20	47.15	-2.30	66.45	-1.33	53.30		
-3.40	47.90	4.55	48.00	0.45	68.10	0.53	54.67		
-4.20	47.25	3.70	47.40	-0.75	67.50	-0.42	54.05		
-3.20	48.40	4.80	48.35	0.80	68.50	0.80	55.08		
-4.70	47.70	3.40	48.00	-1.50	68.10	-0.93	54.60		
-4.00	46.90	4.00	46.95	-0.15	67.00	-0.05	53.62
-14.30	34.70	-10.30	41.50	-29.80	48.70	-18.13	41.63		
-14.60	34.80	-10.50	41.75	-29.85	48.80	-18.32	41.78		
-15.75	34.50	-11.90	41.60	-31.50	47.50	-19.72	41.20		
-15.00	34.10	-10.80	40.95	-30.30	47.75	-18.70	40.93		
-15.05	34.50	-10.80	41.40	-30.45	48.15	-18.77	41.35		
-15.20	34.70	-11.20	41.70	-30.95	48.05	-19.12	41.48		
-14.50	34.75	-10.35	41.50	-29.80	48.70	-18.22	41.65		
-14.00	34.70	-9.70	41.30	-28.80	49.10	-17.50	41.70		
-14.10	34.40	-9.80	41.30	-28.95	48.80	-17.62	41.50		
-15.55	34.20	-11.40	40.85	-30.65	47.90	-19.20	40.98		
-15.45	34.90	-11.40	41.85	-30.90	48.40	-19.25	41.72		
-14.20	34.55	-9.90	41.40	-29.00	48.95	-17.70	41.63		
-15.25	34.90	-11.45	41.80	-30.70	48.60	-19.13	41.77		
-14.65	34.00	-10.35	40.80	-29.80	47.90	-18.27	40.90		
-14.70	34.10	-10.50	41.05	-29.85	48.10	-18.35	41.08		
-15.00	34.95	-10.80	41.90	-30.40	48.65	-18.73	41.83		
-14.75	34.80	-10.50	41.75	-30.00	48.60	-18.42	41.72		
-15.35	34.70	-11.25	41.60	-30.80	48.30	-19.13	41.53		
-16.00	35.30	-12.10	42.30	-31.90	48.30	-20.00	41.97		
-15.30	34.40	-11.10	41.35	-30.70	48.20	-19.03	41.32		
-16.00	34.90	-12.00	41.80	-31.50	48.40	-19.83	41.70		
-15.50	33.90	-11.65	40.80	-31.10	47.40	-19.42	40.70		
-15.25	34.30	-11.10	40.30	-30.65	48.00	-19.00	40.87		
-14.70	33.50	-10.40	40.50	-29.90	47.35	-18.33	40.45		
-15.10	34.80	-11.25	41.70	-30.85	48.25	-19.07	41.58		
11.50	41.55	15.35	34.70	29.95	49.20	18.93	41.82		
10.90	42.45	15.80	35.60	31.00	49.50	19.23	42.52		
10.60	41.30	14.90	34.50	29.70	48.85	18.40	41.55		
11.85	42.10	16.00	35.20	31.30	49.00	19.72	42.10		
11.60	41.80	15.75	34.95	31.00	48.90	19.45	41.88		
11.40	41.30	15.25	34.00	30.00	48.70	18.88	41.33		
10.65	41.85	15.00	35.10	29.60	49.60	18.42	42.18		
11.40	41.35	15.65	34.50	30.80	48.70	19.28	41.52		
11.90	41.75	15.90	34.95	31.30	48.65	19.70	41.78		
10.85	41.30	15.30	34.75	30.00	49.00	18.72	41.68		
11.25	42.05	15.60	35.30	30.50	49.45	19.12	42.27		
12.50	42.10	16.50	34.80	32.00	48.40	20.33	41.77		
11.10	41.25	15.40	34.40	30.40	48.20	18.97	41.28		
11.40	42.25	15.60	35.35	30.50	49.60	19.17	42.40		
10.10	41.20	14.50	34.40	29.10	49.10	17.90	41.57		
10.30	40.65	14.70	34.00	29.20	48.60	18.07	41.08		
11.70	42.00	16.10	35.15	31.00	49.15	19.60	42.10		
10.90	41.10	15.30	34.20	29.95	48.70	18.72	41.33		
11.85	42.10	16.05	35.10	31.05	49.10	19.65	42.10		
10.90	41.80	15.30	35.05	30.00	49.50	18.73	42.12		
12.35	42.30	16.30	35.40	31.50	49.15	20.05	42.28		
12.00	42.20	16.05	35.30	31.45	49.20	19.83	42.23		
12.05	42.40	16.05	35.35	31.40	49.25	19.83	42.33		
11.40	42.15	15.50	35.50	30.70	49.45	19.20	42.37		
10.65	41.10	15.00	34.05	29.60	48.50	18.42	41.22				
